post_date,content,fanpage_name,reaction,share,comment,fanpage_url,post_url,image_urls,video_url
2026-06-23,"🔥 LINE-UP KHỦNG: CÁC CHIẾN THẦN GENLIVE MÙA 3 XUẤT HIỆN TẠI MARATHON LIVESTREAM  ⏰ Thời gian: 18h30 | Thứ 6 – 26/06/2026  📱 Tại: Facebook và TikTok chính thức Generali Việt Nam  🦁 Không phải 1, không phải 2, mà là trọn vẹn 14 gương mặt CHIẾN THẦN GENLIVE sẽ cùng khuấy đảo siêu sự kiện tháng 6 này của Generali!   Sẵn sàng cho 5 tiếng liên tục:  🌟 CHÁY hết mình với những màn tương tác độc nhất. 🌟 ĐỈNH hết nấc với vũ trụ quà tặng giá trị. 🌟 CHẤT hết cỡ với những bí kíp bảo vệ cực hay.  Marathon Livestream ""Đầu tư thịnh vượng, Gia đình như ý""  sẽ trở nên “nóng” hơn bao giờ hết!  👉 Đặt lịch ngay để không bỏ lỡ siêu sự kiện này  #GeneraliVietnam #BảoHiểmNhânThọÝthànhlập1831 #HERENOW #SốngTrọnVẹnTừngKhoảnhKhắc #MarathonLivestreamMùa3",Generali Vietnam,23,0,1,https://www.facebook.com/GeneraliVietnam,https://www.facebook.com/GeneraliVietnam/posts/pfbid02oR45VeSJzwnXArV1D6L48GupfUU5Sdw7ce3HsVUaLXPLuLgFc1FKYKi5g3VGi6rWl,,
2026-06-23,"Đồng hành cùng UNICEF vì sự phát triển và khả năng thích ứng của trẻ em Việt Nam  🥰 Vừa qua, bà Nguyễn Phương Anh – Tổng Giám đốc Generali Việt Nam cùng đội ngũ Generali đã có buổi gặp gỡ với bà Silvia Danailov – Trưởng Đại diện UNICEF tại Việt Nam và các cộng sự để trao đổi về những cơ hội hợp tác nhằm hỗ trợ trẻ em và gia đình Việt Nam.  ✨ Cuộc gặp là dịp để hai bên cùng nhìn lại những nỗ lực đã triển khai trong thời gian qua, đồng thời thảo luận về các ưu tiên chung như tăng cường khả năng thích ứng và phục hồi của trẻ em trước thiên tai và biến đổi khí hậu, hỗ trợ sức khỏe tâm thần và tâm lý xã hội, cũng như thúc đẩy các giải pháp hỗ trợ cha mẹ và người chăm sóc trong những năm đầu đời của trẻ.  🤝 Thông qua các chương trình hợp tác với UNICEF, Generali Việt Nam đã đóng góp gần 5 tỷ đồng cho các sáng kiến hỗ trợ trẻ em và gia đình, đặc biệt trong các hoạt động tăng cường khả năng phục hồi, hỗ trợ tâm lý xã hội và ứng phó với những tác động ngày càng gia tăng của biến đổi khí hậu.  😍 Bên cạnh đó, UNICEF cũng đang đồng hành cùng The Human Safety Net trong các sáng kiến hỗ trợ cha mẹ và người chăm sóc trẻ. Với cùng niềm tin rằng những năm đầu đời đóng vai trò nền tảng đối với sự phát triển của mỗi đứa trẻ, hai bên đang cùng thúc đẩy các giải pháp hỗ trợ nuôi dạy con, nâng cao nhận thức cộng đồng và tạo dựng môi trường phát triển tích cực cho trẻ em và gia đình.  ❤️ Tại Generali, chúng tôi tin rằng đầu tư cho trẻ em chính là đầu tư cho tương lai. Chúng tôi trân trọng sự đồng hành của UNICEF và The Human Safety Net trong hành trình chung nhằm giúp trẻ em Việt Nam phát triển toàn diện, vững vàng hơn trước những thách thức của tương lai.  #GeneraliVietnam #BảoHiểmNhânThọÝthànhlập1831 #HERENOW #SốngTrọnVẹnTừngKhoảnhKhắc #TheHumanSafetyNet #SocialImpact #THSNinAction #TheHumanSafetyNetVietnam",Generali Vietnam,67,7,0,https://www.facebook.com/GeneraliVietnam,https://www.facebook.com/GeneraliVietnam/posts/pfbid0gKYwzT8nB5ft41Faxnm7N6MBoWDFPBA46hmoMKEcKM2NKkykF8wJwNrBxQVPqy5Tl,,
2026-06-22,"HÀNH TRÌNH BỀN VỮNG CÙNG GENERALI VIỆT NAM Phát triển bền vững – Từ cam kết đến hành động  🌟 Tại Generali Việt Nam, Phát triển Bền vững không chỉ là một định hướng dài hạn, mà là cách chúng tôi chủ động tạo ra giá trị mỗi ngày cho khách hàng, cộng đồng và môi trường. ✨ Trong những năm qua, Generali Việt Nam đã từng bước xây dựng nền tảng phát triển bền vững thông qua các hành động cụ thể: vận hành có trách nhiệm, đầu tư vào đào tạo và nâng cao nhận thức nội bộ, đồng thời triển khai nhiều sáng kiến cộng đồng và môi trường.  Ngoài ra, Generali Việt Nam đồng hành cùng The Human Safety Net (*) tập trung hỗ trợ trẻ em và gia đình có hoàn cảnh dễ bị tổn thương thông qua các chương trình về phát triển trẻ thơ toàn diện, giáo dục làm cha mẹ, học tập thông qua vui chơi và huy động cộng đồng cùng chung tay vì trẻ em.  Bước sang năm 2026, Generali Việt Nam xác định rõ các trọng tâm hành động trong chiến lược phát triển bền vững như sau: 🔹 Giảm thiểu tác động môi trường và nâng cao khả năng thích ứng với biến đổi khí hậu; 🔹 Thúc đẩy lối sống bền vững trong nhân viên, đội ngũ kinh doanh và khách hàng; 🔹 Tích hợp tư duy bền vững vào hoạt động vận hành kinh doanh. 🔹 Tiếp tục mở rộng tác động xã hội thông qua The Human Safety Net, với trọng tâm là hỗ trợ sự phát triển toàn diện của trẻ em và tăng cường năng lực cho gia đình, người chăm sóc và cộng đồng. (*) The Human Safety Net Việt Nam là thành viên của The Human Safety Net toàn cầu – tổ chức phi lợi nhuận được thành lập bởi tập đoàn Generali vào năm 2017, hiện đang hoạt động tại 25 quốc gia. Tại Việt Nam, The Human Safety Net hỗ trợ gia đình có con từ 0 – 6 tuổi sống trong hoàn cảnh dễ bị tổn thương.  Từ định hướng này, Generali Việt Nam đẩy mạnh triển khai các sáng kiến cụ thể nhằm tạo ra tác động rõ ràng và có thể đo lường.  🌱 Một trong những bước đi tiêu biểu trong năm 2026 là mục tiêu đóng góp 3.000 cây tre chống lũ cho miền Trung, góp phần tăng cường khả năng chống chịu thiên tai cho cộng đồng. 😍 Đội ngũ Generali Việt Nam – từ nhân viên đến lực lượng tư vấn tài chính – đóng vai trò trung tâm trong việc đưa tư duy bền vững vào từng hoạt động kinh doanh và từng điểm chạm với khách hàng.  👉 Generali Việt Nam tin rằng những thay đổi tích cực luôn bắt đầu từ những hành động cụ thể và khi được nhân lên, sẽ tạo ra tác động lâu dài cho xã hội. 👉 Hành trình này sẽ tiếp tục được cụ thể hóa qua những sáng kiến thiết thực trong thời gian tới.  #GeneraliVietnam #BảoHiểmNhânThọÝthànhlập1831 #HERENOW #Sustainability #3000TreChongLu #BenVungCungGenerali",Generali Vietnam,99,4,1,https://www.facebook.com/GeneraliVietnam,https://www.facebook.com/GeneraliVietnam/posts/pfbid0UojNhuHqMc7HJ3KLRanJ2Ef79dt1C5FsDdUpP8jB49Mth3KtSHnDdZj7g2DvFpoUl,https://scontent.fsgn5-10.fna.fbcdn.net/v/t39.99422-6/728685484_1521605529458554_3842137309061998470_n.png?stp=dst-jpg_tt6&cstp=mx2048x2048&ctp=s1080x2048&_nc_cat=107&ccb=1-7&_nc_sid=127cfc&_nc_ohc=ha8UgzoFXdAQ7kNvwG_IEfT&_nc_oc=AdrYZzjX2H7BrHkrT5Csr_Mufc2cdZ7mA42sQbHe1LunfdCkfluP6RK-K3mdzCSGKsO1jxdtFXz8vu5yhHeUOJjp&_nc_zt=14&_nc_ht=scontent.fsgn5-10.fna&_nc_gid=Wt5JdUcGjvele9M3wmBiSQ&_nc_ss=7b2a8&oh=00_Af-_JSdrIRjv74xbGEzl0W23Ka_TUbH1v5m6UREcO8phrA&oe=6A41736A,
2026-06-24,,Generali Vietnam,0,0,0,https://www.facebook.com/GeneraliVietnam,https://www.facebook.com/events/1333005444946148/,,
2026-06-22,"BẬT CHẾ ĐỘ HÓNG: ĐẶC QUYỀN “ĐỈNH NÓC KỊCH TRẦN” MARATHON LIVESTREAM  🗓 Hẹn gặp bạn lúc: 18h30 ngày 26.06.2026 📍 Tại: Facebook và Tiktok của Generali Việt Nam  Marathon Livestream “ĐẦU TƯ THỊNH VƯỢNG. GIA ĐÌNH NHƯ Ý” sắp lên sóng với những câu chuyện thú vị, những góc nhìn hữu ích và nhiều phần quà độc quyền từ Generali Việt Nam   ✨ Bật Livestream ngay để khám phá những đặc quyền đáng mong chờ: 💎 AN TÂM ĐẦU TƯ, VỮNG VÀNG BẢO VỆ: Cập nhật xu hướng thị trường, khám phá các giải pháp tài chính thiết thực từ các chuyên gia và đội ngũ Tư vấn Tài chính chuyên nghiệp để chủ động hoạch định tài chính cho bản thân và gia đình. 🛡️ HỘI NGỘ DÀN SAO, KHUẤY ĐẢO KHÔNG KHÍ: Gặp gỡ những gương mặt đình đám cùng trải nghiệm những màn tương tác thú vị 🎁 RINH QUÀ XỊN MỊN: Tham gia minigame và cơ hội sở hữu phần quà độc quyền xinh xắn từ Generali  👉 Đừng bỏ lỡ cơ hội “vàng” để vừa nạp kiến thức, vừa rinh quà xịn ""đỉnh nóc""!  #GeneraliVietnam #BảoHiểmNhânThọÝthànhlập1831 #HERENOW #SốngTrọnVẹnTừngKhoảnhKhắc #MarathonLivestreamMùa3",Generali Vietnam,19,0,0,https://www.facebook.com/GeneraliVietnam,https://www.facebook.com/GeneraliVietnam/posts/pfbid02M8UrydycoJnJCet44Bd1ALW3Ywe7KZwFPvK9NRvzokYLMEHVEMuMuRLgG4GQiKsRl,,
2026-06-21,"🌹 Chúc mừng Ngày của Cha  🥰 Mỗi hành trình làm Cha đều có một câu chuyện riêng. Từ khoảnh khắc có con, Cha bắt đầu một hành trình đặc biệt - hành trình của yêu thương, trách nhiệm và luôn mong những điều tốt đẹp nhất dành cho gia đình.  😍 Dù là những khoảnh khắc giản dị trong cuộc sống đến những dấu mốc quan trọng, Cha luôn là người tiếp thêm động lực để con tự tin lớn lên và theo đuổi những ước mơ của riêng mình.  🏡 Nhân Ngày của Cha, Generali Việt Nam gửi lời tri ân đến những ai đang làm Cha một ngày như ý, luôn mạnh khỏe, bình an và sống trọn vẹn từng khoảnh khắc bên những người thân yêu.  #GeneraliVietnam #BảoHiểmNhânThọÝthànhlập1831 #HERENOW #SốngTrọnVẹnTừngKhoảnhKhắc",Generali Vietnam,23,1,0,https://www.facebook.com/GeneraliVietnam,https://www.facebook.com/GeneraliVietnam/posts/pfbid02LZVuwCQabGJxtWCCLWVS3Tef3P9jWRHvzaUeGFZNm3zE7EDr3vVQX9Gs7ScwYRDSl,https://scontent.fsgn5-13.fna.fbcdn.net/v/t39.99422-6/728893835_1719467702520732_2511629647342591222_n.png?stp=dst-jpg_tt6&cstp=mx1200x1200&ctp=s1080x2048&_nc_cat=106&ccb=1-7&_nc_sid=127cfc&_nc_ohc=AVzSjNx_6cMQ7kNvwGyTsB4&_nc_oc=AdpR1_mjbw5onuCMIC1vvbIqUzYfj1HxTQuKHW8TStNjm89o15qd1_ZwiQIIHIpFIM1CcvP0NGMcoNSCOpWdVs33&_nc_zt=14&_nc_ht=scontent.fsgn5-13.fna&_nc_gid=Wk_Bq5X30TPA_xnoeqB5VA&_nc_ss=7b2a8&oh=00_Af_w2PI1nEraUMwrfMaYc0B2MDxqq4UGt7NNTKhNfOLjcQ&oe=6A41648C,
2026-06-20,"🚗 Chuyến xe “Hành trình kết nối trăm điểm tin cậy” tiếp tục ghé thăm văn phòng GenCasa Vĩnh Long và gặp gỡ chị Huỳnh Thị Bảy – khách hàng đã tin tưởng đồng hành cùng Generali với 8 hợp đồng bảo hiểm.  💛 Chị Bảy chia sẻ rằng bảo hiểm giúp chị thêm an tâm trước những rủi ro sức khỏe và chủ động hơn khi không may gặp biến cố. Chính những trải nghiệm thực tế đã giúp chị cảm nhận rõ hơn giá trị của việc chủ động bảo vệ từ sớm. Trên hành trình ấy, chị Tư vấn viên Thủy Tiên luôn là người đồng hành tận tâm, từ những ngày đầu tư vấn đến những lúc chị cần hỗ trợ giải quyết quyền lợi bảo hiểm, mang đến cho chị sự an tâm và tin tưởng trong suốt quá trình tham gia.  🌿 Có những niềm tin được xây dựng từ sự đồng hành và những trải nghiệm thực tế. Đó cũng chính là giá trị của sự bảo vệ và an tâm dài lâu mà Generali luôn mong muốn mang đến cho khách hàng.  🎥 Mời bạn cùng lắng nghe câu chuyện của chị Bảy trong video dưới đây nhé! 💛  #GeneraliVietnam #BảoHiểmNhânThọÝthànhlập1831 #HERENOW #SốngTrọnVẹnTừngKhoảnhKhắc #15namGeneraliVietNam #Hànhtrìnhkếtnốitrămđiểmtincậy",Generali Vietnam,18,4,1,https://www.facebook.com/GeneraliVietnam,https://www.facebook.com/GeneraliVietnam/posts/pfbid0hbGXPFaepgqfb5auPj6t1tgu3m2Q6ue6JjeFYpQ5XQ9vZwyJ8Ywrtj71wwx3Wnril,,
2026-06-19,"Một cuộc hẹn đặc biệt sắp diễn ra với dàn khách mời đình đám, hứa hẹn mang đến nhiều bất ngờ và khoảnh khắc đáng mong chờ ✨  📌 Thời gian: 18h30 | 26.06.2026 📍 Trực tiếp trên Facebook & TikTok chính thức Generali Việt Nam  ✨ Marathon Livestream “ĐẦU TƯ THỊNH VƯỢNG. GIA ĐÌNH NHƯ Ý” sẽ biến những chủ đề tài chính bảo hiểm vốn khô khan trở nên gần gũi, dễ hiểu và cực cuốn với sự góp mặt của các khách mời đặc biệt:  ⚡️ HỎI ĐI CHỜ CHI - GIẢI NGAY TỨC THÌ Nơi mọi thắc mắc ""kinh điển"" của khách hàng về sản phẩm VITA - Đầu Tư Thịnh Vượng sẽ được bật mí và giải đáp trực tiếp, thấu đáo từ đội ngũ Tư vấn viên của Generali 🌟 Dàn khách mời duyên dáng: ✨ Diễn viên Bé Bảy ✨ Diễn viên Tâm An ✨ Diễn viên Ngọc Tâm  ⚡️ ĐẤU TRƯỜNG ỨNG XỬ Đón xem những màn đối đáp thú vị từ các khách mời và cùng Generali gỡ rối những thắc mắc quen thuộc một cách gần gũi, dễ hiểu. 🌟 Dàn chiến thần ứng xử: ✨ Diễn viên Bé Bảy ✨ Diễn viên Tuấn Kiệt ✨ Diễn viên Hải Triều  🥰 Mỗi khách mời sẽ mang đến một góc nhìn riêng, những góc nhìn thú vị và màn tương tác đầy bất ngờ, giúp những chủ đề tưởng như “khó nhằn” trở nên gần gũi và dễ tiếp cận hơn.  👇 Bạn đang mong chờ màn xuất hiện của ai nhất? Comment ngay bên dưới và cùng đếm ngược đến Marathon Livestream cùng Generali Việt Nam nhé!  #GeneraliVietnam #BảoHiểmNhânThọÝthànhlập1831 #HERENOW #SốngTrọnVẹnTừngKhoảnhKhắc #MarathonLivestreamMùa3",Generali Vietnam,41,3,9,https://www.facebook.com/GeneraliVietnam,https://www.facebook.com/GeneraliVietnam/posts/pfbid02UNcUdJScEnnQUyBoE7zEiUd5VkwMYcTv9T4hNvmmf9FDE4ZDgvPxy2xjWqptPUEql,,
2026-06-18,"💡 CHUYÊN GIA HỘI TỤ, MỞ LỐI TƯƠNG LAI  🤔 Bạn muốn gia tăng tài sản một cách bền vững và chủ động hoạch định tương lai tài chính cho bản thân và gia đình?  Đừng bỏ lỡ cơ hội lắng nghe những chia sẻ và phân tích chuyên sâu từ các chuyên gia đến từ hai đơn vị quản lý quỹ hàng đầu: Quỹ VinaCapital và Quỹ KIM Việt Nam Fund Management tại Marathon Livestream ĐẦU TƯ THỊNH VƯỢNG, GIA ĐÌNH NHƯ Ý:  ✨ Những góc nhìn thực tiễn về thị trường từ các chuyên gia giàu kinh nghiệm. ✨ Khám phá cách xây dựng kế hoạch tài chính phù hợp với từng mục tiêu cuộc sống. ✨ Tìm hiểu những nguyên tắc đầu tư dài hạn hướng đến sự thịnh vượng và bền vững.  📍 Hẹn gặp bạn lúc 18h30 ngày 26.06.2026 trên Facebook & TikTok Generali Việt Nam.  💛 Ở đây, lúc này cùng Generali chuẩn bị từ hôm nay để vững vàng hơn cho ngày mai.  #GeneraliVietnam #BảoHiểmNhânThọÝthànhlập1831 #HERENOW #SốngTrọnVẹnTừngKhoảnhKhắc #MarathonLivestreamMùa3",Generali Vietnam,58,1,0,https://www.facebook.com/GeneraliVietnam,https://www.facebook.com/GeneraliVietnam/posts/pfbid02zHXMrtALKMtwtERucafkKgnwAJ4SHUCHW5J51warftGK6YSDtjFfag1gU5hQ1BW7l,,
2026-06-18,"🎉 GENERALI VIỆT NAM GIỮ VỮNG VỊ THẾ TOP 10 CÔNG TY BẢO HIỂM NHÂN THỌ UY TÍN 2026  Generali Việt Nam tự hào tiếp tục được vinh danh trong bảng xếp hạng Top 10 Công ty bảo hiểm nhân thọ uy tín 2026 do Vietnam Report công bố, khẳng định vị thế vững vàng trong nhóm doanh nghiệp dẫn đầu thị trường bảo hiểm nhân thọ Việt Nam. Kết quả này là sự ghi nhận cho những nỗ lực bền bỉ của Generali Việt Nam trong việc xây dựng nền tảng tài chính vững mạnh, nâng cao uy tín thương hiệu và không ngừng đổi mới để mang đến những giải pháp bảo vệ ngày càng đơn giản, linh hoạt và phù hợp hơn với nhu cầu của khách hàng.  🏆 Danh hiệu Top 10 Công ty bảo hiểm nhân thọ uy tín 2026 tiếp tục là động lực để Generali Việt Nam kiên định theo đuổi sứ mệnh “Người bạn trọn đời”, đồng hành và bảo vệ trọn vẹn từng khoảnh khắc của hàng triệu gia đình Việt Nam.  👉 Nguồn: https://vietnamreport.net/Top-10-Cong-ty-Bao-hiem-uy-tin-nam-2026-12500-1006.html  #GeneraliVietnam #BảoHiểmNhânThọÝthànhlập1831 #HERENOW #SốngTrọnVẹnTừngKhoảnhKhắc",Generali Vietnam,62,21,1,https://www.facebook.com/GeneraliVietnam,https://www.facebook.com/GeneraliVietnam/posts/pfbid0Ug61Lx6iD5Rxzm6hsmXAi1wBoMGgigJcbZACW25uUt2KCtHHcxeMn6F3jbC5Ut3Hl,https://scontent.fsgn5-10.fna.fbcdn.net/v/t39.99422-6/726412077_2179379982909314_2873405116914227534_n.png?stp=dst-jpg_tt6&cstp=mx1254x1254&ctp=s1080x2048&_nc_cat=107&ccb=1-7&_nc_sid=127cfc&_nc_ohc=RMT9mBfQFLUQ7kNvwEdtixZ&_nc_oc=AdoiOt2GhZtsnDVJxtfakV4lTQG37edSxxJAZk8luqyQsSb7vaPO7m6ixsQlNDMfaSiYs8Kenb3PdSWZl6N3yu_x&_nc_zt=14&_nc_ht=scontent.fsgn5-10.fna&_nc_gid=97JvF1evzjyBvSUqmBetBw&_nc_ss=7b2a8&oh=00_Af_Hhyuc8H25R2Hhm21wScPiLiyiwYfw-nARrrcYZocA7A&oe=6A415635,
